rank,playerName,team,gamePlayed,price,totalScore,averageScore,value,img
1,Travis Boak,Power,7,"$758,000 ",823,117.6,15.5,http://www.tradingcardheroes.com.au/etch/etchimages/players/BOAK-Travis.png
2,Andrew Gaff,Eagles,5,"$788,000 ",581,116.2,14.7,https://s.afl.com.au/staticfile/AFL%20Tenant/WestCoastEagles/Player%20Profiles/2019%20-%20Profiles/GAFF%20Andrew.png
3,Jake Lloyd,Swans,7,"$787,000 ",808,115.4,14.7,https://s.afl.com.au/staticfile/AFL%20Tenant/SydneySwans/Player%20Profiles/2019%20profiles/LLOYD-Jake_L.png
4,Patrick Cripps,Blues,7,"$799,000 ",804,114.9,14.4,https://s.afl.com.au/staticfile/AFL%20Tenant/Carlton/Player%20Profiles/2019%20Profiles/2019_CrippsPat.png
5,Adam Treloar,Magpies,7,"$763,000 ",802,114.6,15,https://s.afl.com.au/staticfile/AFL%20Tenant/Collingwood/Player%20Profiles/temp/TRELOAR%20Adam.png
6,Lachie Whitfield I,Giants,6,"$791,000 ",671,111.8,14.1,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
7,Jaeger O'Meara,Hawks,6,"$759,000 ",670,111.7,14.7,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
8,Lachie Neale,Lions,7,"$764,000 ",779,111.3,14.6,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
9,Brodie Grundy,Magpies,7,"$792,000 ",771,110.1,13.9,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
10,Matt Crouch,Crows,7,"$749,000 ",771,110.1,14.7,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
11,Tim Taranto,Giants,7,"$733,000 ",769,109.9,15,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
12,Marcus Bontempelli,Bulldogs,7,"$726,000 ",768,109.7,15.1,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
13,Rory Sloane,Crows,7,"$718,000 ",763,109,15.2,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
14,Jackson Macrae,Bulldogs,7,"$775,000 ",762,108.9,14,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
15,Brayden Fiorini,Suns,7,"$748,000 ",760,108.6,14.5,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
16,Joshua Kelly I,Giants,4,"$758,000 ",433,108.2,14.3,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
17,Josh Kennedy,Swans,7,"$719,000 ",757,108.1,15,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
18,Stephen Coniglio,Giants,7,"$757,000 ",754,107.7,14.2,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
19,Dylan Shiel,Bombers,7,"$737,000 ",751,107.3,14.6,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
20,Nathan Fyfe,Dockers,6,"$726,000 ",640,106.7,14.7,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
21,Max Gawn,Demons,7,"$754,000 ",743,106.1,14.1,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
22,Brad Crouch,Crows,7,"$686,000 ",738,105.4,15.4,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
23,Mitchell Duncan,Cats,7,"$722,000 ",737,105.3,14.6,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
24,Jarrod Witts,Suns,7,"$721,000 ",727,103.9,14.4,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
25,Zachary Merrett,Bombers,7,"$747,000 ",727,103.9,13.9,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
26,Tom Rockliff,Power,7,"$680,000 ",726,103.7,15.3,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
27,Scott Pendlebury,Magpies,7,"$712,000 ",725,103.6,14.5,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
28,Thomas Stewart,Cats,7,"$677,000 ",719,102.7,15.2,https://4.bp.blogspot.com/-zKaLdtxHmH0/XNfK7Rve0YI/AAAAAAAACvk/2ZrpCCQ0bgooCN8Qf4_qthNactLGbFopwCLcBGAs/s1600/default.jpg
